Account ID,Account Name,Parent Account ID,Parent Account,Billing Street,Billing State/Province,Billing City,Billing Zip/Postal Code,Active?
0013600000veGPjAAM,San Marcos,0013600000s0RnDAAU,First Tee Phoenix,100 North Dakota Street,AZ,Chandler,85225,1
0011R00002e4BcVQAU,San Pedro Driving Range & Par 3,0013600000pYUx2AAG,First Tee Greater San Antonio,6102 San Pedro Ave,TX,San Antonio,78216,1
0013600001c1yNEAAY,Sanctuary Golf Club,0013600000s0SufAAE,First Tee The Lowcountry,8 Waveland Ave.,SC,Beaufort,29907,1
0013600000pYWM3AAO,Sanctuary Golf Club,0013600000pYUxbAAG,First Tee Golden Isles,"2050 Sanctuary Wynd,",GA,Waverly,31565,1
0013600001c1yJgAAI,Sand Creek Golf Course,0013600000pYUx9AAG,First Tee Idaho,5200 South 25 East,ID,Idaho Falls,83404,1
0011R00002frJBbQAM,Sand Creek Station,0013600000s0RnCAAU,First Tee Greater Wichita,920 Meadowbrook Dr.,KS,Newton,67114,1
0011R00002vvEOeQAM,Sandhill Farms,0013600000pXnGBAA0,First Tee Greater Houston,14818 Mathis Rd,TX,Waller,77484,1
001Hq000039SiDeIAK,Sandhurst Golf Club,0011R00002YTvG6QAL,First Tee Australia,"PGA of Australia
600 Thompsons Road",VIC,Sandhurst,3977,1
0011R00002oMNrMQAW,Sandpiper Bay Golf Club,0013600000s0SuOAAU,First Tee Florida Gold Coast,4500 SE Pine Valley St.,FL,Port Saint Lucie,34952,1
001Hq000039SzVfIAK,Sandpiper Bay Golf Course,0013600000pYUwkAAG,First Tee Coastal Carolinas,800 N Sandpiper Club Dr SW,NC,Sunset Beach,28468,0
001Hq000039Su5JIAS,Sandpiper Bay Golf Course,0013600000pYUwkAAG,First Tee Coastal Carolinas,800 N Sandpiper Club Dr SW,NC,Sunset Beach,28468,1
0011R00001xCChXQAW,Sandpiper Golf Club,0013600000s0SuFAAU,First Tee Central Coast,7925 Hollister Ave,CA,Goleta,93117,0
0013600000pYWLMAA4,Sanford Country Club,0013600000pYUxEAAW,First Tee Maine (Historical),588 Country Club Rd.,ME,Sanford,4073,0
0013600001c1yFWAAY,Santa Barbara Golf Club,0013600000s0SuFAAU,First Tee Central Coast,3500 McCaw Avenue,CA,Santa Barbara,93105,1
0013600000pYWOZAA4,Santa Fe Country Club,0013600000pYUxTAAW,First Tee Central New Mexico (Historical),1000 Country Club Drive,NM,Santa Fe,87505,0
0013600001c1yFbAAI,Santa Maria Country Club,0013600000s0SuFAAU,First Tee Central Coast,505 West Waller Lane,CA,Santa Maria,93455,1
0013600001c1yHCAAY,Santa Maria Golf Course,0013600000s0SuQAAU,First Tee East Baton Rouge Parish,18480 Santa Maria Pkwy,LA,Baton Rouge,70810,1
0011R000031aBQKQA2,Santa Rosa Golf & Country Club,0011R00002JfMbqQAF,First Tee North Coast,333 Country Club Drive,CA,Santa Rosa,95401,1
0013600001EGdRjAAL,Santa Rosa Golf Club,0013600000pYUxNAAW,First Tee Gulf Coast,334 Golf Club Drive,FL,Santa Rosa Beach,32459,1
0011R00002NQrkRQAT,Sapelo Hammock Golf Club,0013600000pYUxbAAG,First Tee Golden Isles,1354 Marshview Dr. NE,GA,Shellman,31331,1
0011R000031aOwbQAE,Sapulpa Municipal Golf Course,0013600000s0SvLAAU,First Tee Tulsa,1200 W Dewey Avenue,OK,Sapulpa,74066,1
0011R00002LegDAQAZ,Saticoy Regional Golf Course,0013600000s0SuFAAU,First Tee Central Coast,1025 South Wells Road,CA,Ventura,93004,1
0011R00002azKjZQAU,Satomi Kids Academy,0013600000s0SuZAAU,First Tee Japan (Historical),,,Tokyo,,1
0011R00002LgoMKQAZ,Satsuma Golf Resort,0013600000s0SuZAAU,First Tee Japan (Historical),"6122 Gumyo, Satuma-cho, Satsuma-gun",,Kagoshima,895-2201,0
001Hq00003B9EGwIAN,Savannah Golf Club,0011R00002dVS0hQAG,First Tee Savannah,1661 East President Street,GA,Savannah,31404,1
0013600000pYWITAA4,Scenic Hills Golf Course,0013600000pYUxNAAW,First Tee Gulf Coast,8891 Burning Tree Rd.,FL,Pensacola,32514,1
0011R00002SUAqwQAH,Scholl Canyon Golf Course,0013600000s0SuzAAE,First Tee Greater Pasadena,3800 E. Glenoaks Blvd,CA,Glendale,91206,1
0013600001fgez5AAA,Scioto Audubon Metro Park,0013600000pXnGJAA0,First Tee Central Ohio,400 West Whittier Street,Oh,Columbus,43215,1
0013600001uOCViAAO,Scotch Hills Country Club,0013600000pYUxRAAW,First Tee Raritan Valley,820 Jerusalem Road,NJ,Scotch Plains,7076,1
0011R000029eBOFQA2,Scott Lake Golf & Practice Center,0013600000s0SvPAAU,First Tee West Michigan,911 Hayes Road NE,MI,Comstock Park,49321,1
0013600000pYWI2AAO,Scott Robertson Junior Golf Academy,0013600000pYUxSAAW,First Tee Roanoke Valley,3707 Densmore Rd.,VA,Roanoke,24017,1
0013600001wTCxQAAW,Sea Island Golf Club,0013600000pYUxbAAG,First Tee Golden Isles,100 Retreat Road,GA,Saint Simmons Island,31522,0
0011R00002azqTBQAY,Sea Island Golf Performance Center,0013600000pYUxbAAG,First Tee Golden Isles,100 Retreat Road,GA,"St. Simons Island, Ga.",31522,1
0013600001rN5F2AAK,Sea Island Retreat Course,0013600000pYUxbAAG,First Tee Golden Isles,100 Kings Way Street,GA,St. Simons,31522,1
0013600000pYWLjAAO,Sea Palms Resort- West Course,0013600000pYUxbAAG,First Tee Golden Isles,5445 Frederica Road,GA,St Simons Island,31522,0
0013600001c1yFVAAY,Sea Pines Golf Resort,0013600000s0SuFAAU,First Tee Central Coast,1945 Salano Street,CA,Los Osos,93402,1
001Hq000035cnqqIAA,Seacoast Junior Golf Association,0013600000s0Sv9AAE,First Tee New Hampshire,89 Sunningdale Drive,NH,"Somersworth,",3878,1
0011R00002JftHZQAZ,Seagate Country Club,0013600000s0SuOAAU,First Tee Florida Gold Coast,3600 Hamlet Drive,FL,delray beach,33445,0
0011R000022LwbRQAS,Seaview Golf Club,0013600000pYUxJAAW,First Tee Jersey Shore,401 South New York Road,NJ,Galloway,8205,1
0013600001c1yHJAAY,Seifert Golf Center,0013600000s0SuPAAU,First Tee Eastern Michigan,2193 W. Brand Blanc Rd.,MI,Grand Blanc,48439,1
001Hq000036nucZIAQ,SentryWorld Golf Course,0013600000pYUxWAAW,First Tee South Central Wisconsin,601 Michigan Ave N,WI,Stevens Point,54481,1
0013600001c1yLuAAI,Serenoa Golf Club,0013600000pYUxUAAW,First Tee Sarasota/Manatee,6773 Serenoa,FL,Sarasota,34241,1
0013600001c1yIEAAY,Sevierville Country Club,0013600000pYUxIAAW,First Tee Tennessee,1444 Old Knoxville Highway,TN,Sevierville,37876,1
0011R00002NRaxmQAD,Sevierville Golf Club,0013600000pYUxIAAW,First Tee Tennessee,1444 Old Knoxville Hwy,TN,Sevierville,37876,1
0013600000pYWLkAAO,Sewailo Golf Club,0013600000pYUxfAAG,First Tee Tucson,5655 W. Valencia Rd.,AZ,Tucson,85757,1
0013600001c1yNCAAY,Sgt. Jasper Golf Club,0013600000s0SufAAE,First Tee The Lowcountry,50 Country Club Dr.,SC,Ridgeland,29936,1
0013600000pYWKfAAO,Shadow Valley Golf Course,0013600000pYUx9AAG,First Tee Idaho,15711 Horseshoe Bend Road,ID,Boise,83714,1
0013600000pYWLAAA4,Shadowmoss Plantation Golf Club,0013600000pYUwtAAG,First Tee Greater Charleston,20 Dunvegan Drive,SC,Charleston,29414,1
0011R000035biTgQAI,Shadowood Golf Course,0013600000pXnGGAA0,First Tee Indiana,333 N Sandy Creek Dr.,IN,Seymour,47274,1
0013600001c1yGOAAY,Shaftesbury Glen Golf & Fish Club,0013600000pYUwkAAG,First Tee Coastal Carolinas,916 Shaftesbury Lane,SC,Conway,29526,1
0011R00002cMWRqQAO,Shaker Run Golf Club,0013600000s0SuyAAE,First Tee Greater Cincinnati & Northern Kentucky,1320 Golf Club Run Drive,OH,Lebanon,45036,0
0013600000pYWHzAAO,Shaker Run Golf Course,0013600000pYUwxAAG,First Tee Greater Miami Valley (Historical),1320 Golf Club Drive,OH,Lebanon,45036,0
0011R00002mhu2DQAQ,Shalimar Pointe Golf Club,0013600000pYUxNAAW,First Tee Gulf Coast,302 Country Club Rd,FL,Shalimar,32579,1
0011R00002awbtBQAQ,Shank's Golf Range,0013600000pYUxZAAW,First Tee Upstate South Carolina,11506 Anderson Road,SC,Greenville,29611,1
0013600000pXnHyAAK,Sharpstown,0013600000pXnGBAA0,First Tee Greater Houston,6600 Harbor Town Drive,TX,Houston,77036,1
0011R00002oN2mBQAS,Shawnee Country Club,0011R00002e5xbKQAQ,First Tee Greater Topeka,"913 SE 29th Street
Topeka, Kansas 66605",KS,Topeka,66605,1
0011R00002e7HexQAE,Shawnee GC,0011R00002e5xbKQAQ,First Tee Greater Topeka,913 SE 29th Street,KS,Topeka,66605,0
0013600000pYWJgAAO,Shawnee Golf Course,0013600000pYUxDAAW,First Tee Louisville,460 Northwestern Parkway,KY,Louisville,40212,1
0013600001rL6WLAA0,Shenvalee Golf Resort,0013600000pYUx7AAG,First Tee Shenandoah Valley,9660 Fairway Drive,VA,New Market,22844,1
0013600001iP7hjAAC,Sherwood Golf Course,0013600000s0RnBAAU,First Tee Lake County,600 East Joliet Street,IN,Schereville,46375,1
0013600001lOv8tAAC,Shiloh Springs Golf Course,0013600000pYUwvAAG,First Tee Greater Kansas City,14750 Fairway Lane,MO,Platte City,64079,0
0011R00002oMJ5nQAG,Shiloh Yorktown Golf Course,0013600000pYUx3AAG,First Tee Greater St. Louis,300 Goalby Dr.,IL,Shiloh,62221,1
0011R00002SNiVpQAL,Shining Mountain Golf Course,0013600000pYUxOAAW,First Tee Southern Colorado,100 Shining Mountain Lane,CO,Woodland Park,80863,1
00136000011aZoIAAU,Shoal Creek Golf Course,0013600000pYUwvAAG,First Tee Greater Kansas City,8905 Shoal Creek Parkway,MO,Kansas City,64157,1
0011R00002ykJBTQA2,Shooters Golf,0013600000pYUxQAAW,First Tee Pittsburgh,50 Pine Creek Road,PA,Wexford,15090,1
0013600000pXnINAA0,Shorecliffs Golf Club,0013600000pXnGHAA0,First Tee Orange County,501 Avenida Vaquero,CA,San Clemente,92672,0
0013600001lQ2sCAAS,Shorewood Golf Course,0013600000pYUxLAAW,First Tee Northeast Wisconsin,2420 Nicolet Drive,,Green Bay,54311,1
0013600001iPrRuAAK,Sierra Sage Golf Course,0013600000s0SueAAE,First Tee Northern Nevada,6355 Silver Lake Road,NV,Reno,89506,1
0011R000035boHzQAI,Siloam Springs Golf Club,0013600000pYUxMAAW,First Tee Northwest Arkansas,801 N. Country Club Rd,AR,Siloam Springs,72761,1
0013600001c1yL9AAI,Silver Oak Golf Course,0013600000s0SueAAE,First Tee Northern Nevada,1251 Country Club Dr.,NV,Carson City,89703,0
0013600001c1yKEAAY,Silvermine Golf Course,0013600000s0SunAAE,First Tee Metropolitan New York,95 North Seir Hill Road,CT,Norwalk,6850,0
0013600000rztgXAAQ,Simi Hills Golf Course,0013600000pYUxCAAW,First Tee Los Angeles (Historical),5031 Alamo St.,CA,Simi Valley,93063,0
0013600000rztg7AAA,Sinaloa Golf Course,0013600000pYUxCAAW,First Tee Los Angeles (Historical),980 Madera Road,CA,Simi Valley,93065,0
0013600001gnLDZAA2,Sisters Academy,0013600000pYUxJAAW,First Tee Jersey Shore,1416 Springwood Avenue,NJ,Asbury Park,7712,0
0013600001c1yJtAAI,Sittler Golf Center,0013600000s0SuiAAE,First Tee Lehigh Valley & Berks,497 Mountain Home Road,PA,Sinking Spring,19608,1
001Hq00003DefiUIAR,Skramble House of Golf KOP,0013600000pYUwzAAG,First Tee Greater Philadelphia,570 S Trooper Rd,PA,Audubon,19403,1
0011R00002aEdDLQA0,Sky Trampoline Park,0013600000s0Sv7AAE,First Tee Salina,1820 s 9th Street,KS,Salina,67401,1
0011R00002V9k04QAB,Skyland Pines Golf Course,0013600000pYUwlAAG,First Tee Canton,"3550 Columbus Road NE
Canton, OH 44705
United States",OH,Canton,44705,1
0011R00002Bh2NnQAJ,Skyline Mountain Resort,0013600000s0SvNAAU,First Tee Utah,22130 North 11750 East,UT,Fairview,84629,1
0013600001c1yKMAAY,Skyway Golf Course at Lincoln Park,0013600000s0SunAAE,First Tee Metropolitan New York,515 Duncan Avenue,NJ,Jersey City,7306,0
0013600001c1yMzAAI,Skywest Golf Course,0013600000s0SuwAAE,First Tee East Bay (Historical),1401 Golf Course Rd.,CA,Hayward,94544,0
00136000014qrXOAAY,Sligo Creek Golf Course,0013600000pXnGKAA0,"First Tee Greater Washington, DC",9701 Sligo Creek Parkway,MD,Silver Spring,20901,1
0013600000pYWLzAAO,Smyrna Municipal Golf Course,0013600000pYUxIAAW,First Tee Tennessee,101 Sam Ridley Parkway,TN,Smyrna,37167,1
0011R00002NSlEmQAL,Snohomish Valley Golf Center,0013600000s0SuXAAU,First Tee Greater Seattle,8511 Marsh Rd,WA,Snohomish,98296,1
0013600000pXnIYAA0,Soaring Eagles Golf Course,0013600000pXnGCAA0,First Tee Corning (Historical),209  Middle Road Mark Twain State Park,NY,Horseheads,14845-9334,0
0011R00002LgoG7QAJ,Sobu CC,0013600000s0SuZAAU,First Tee Japan (Historical),"620 Ofuna-cho, Hachioji",,Toyko,193-0935,1
0011R00002slSidQAE,Soldier Hollow Golf Course,0013600000s0SvNAAU,First Tee Utah,1370 West Soldier Hollow Ln,UT,Midway,84049,1
0011R00001zi3ZFQAY,Soldiers Field Golf Course,0013600000s0SvHAAU,First Tee Minnesota,244 Soldiers Field SW,MN,Rochester,55902,1
0013600001iP0KZAA0,Sopana Ridge Country Club,0013600000pYUxeAAG,First Tee Central Carolina,439 Beaver Creek Road,NC,Lexington,29295,1
0013600000pYWLRAA4,South Gate Par 3,0013600000pYUxCAAW,First Tee Los Angeles (Historical),7925 Quill Drive,CA,Downey,90242,0
0013600000s0RrxAAE,South Gleason Golf Course,0013600000s0RnBAAU,First Tee Lake County,3400 Jefferson Street,IN,Gary,46408,1
0013600001pVpzDAAS,South Harbor Par 3,0013600000pYUwkAAG,First Tee Coastal Carolinas,4188 Vanessa Dr SE,NC,Southport,28461,1
0013600001nQD6DAAW,South Hills Golf Club,0013600000pYUwsAAG,First Tee Greater Baltimore,925 Westminster Avenue,PA,Hanover,17331,0
0013600000s0RsHAAU,South Mountain,0013600000s0RnDAAU,First Tee Phoenix,9510 South 7th Street,AZ,Phoenix,85042,0
0013600000pYWOVAA4,South Park Golf Course,0013600000pYUxQAAW,First Tee Pittsburgh,"E Park Drive (lower parking lot, look for the First Tee banner near the shelter)",PA,Pittsburgh,15236,1
